Player,Conference,Team,Age,Pos,PPG,RPG,APG
Shai Gilgeous-Alexander,Western,OKC,26,PG,32.7,5.0,6.4
Anthony Edwards,Western,MIN,23,SG,27.6,5.7,4.5
Nikola Jokic,Western,DEN,29,C,29.6,12.7,10.2
Giannis Antetokounmpo,Eastern,MIL,30,PF,30.4,11.9,6.5
Jayson Tatum,Eastern,BOS,26,PF,26.8,8.7,6.0
Devin Booker,Western,PHO,28,SG,25.6,4.1,7.1
Trae Young,Eastern,ATL,26,PG,24.2,3.1,11.6
Tyler Herro,Eastern,MIA,25,SG,23.9,5.2,5.5
Cade Cunningham,Eastern,DET,23,PG,26.1,6.1,9.1
James Harden,Western,LAC,35,PG,22.8,5.8,8.7
Karl-Anthony Towns,Eastern,NYK,29,C,24.4,12.8,3.1
Zach LaVine,Eastern,SCA,29,SF,23.3,4.3,4.2
Jalen Green,Western,HOU,22,SG,21.0,4.6,3.4
Stephen Curry,Western,GSW,36,PG,24.5,4.4,6.0
DeMar DeRozan,Western,SAC,35,SF,22.2,3.9,4.4
LeBron James,Western,LAL,40,SF,24.4,7.8,8.2
Donovan Mitchell,Eastern,CLE,28,SG,24.0,4.5,5.0
Jalen Brunson,Eastern,NYK,28,PG,26.0,2.9,7.3
Kevin Durant,Western,PHO,36,PF,26.6,6.0,4.2
Jaren Jackson Jr.,Western,MEM,25,C,22.2,5.6,2.0
Pascal Siakam,Eastern,IND,30,PF,20.2,6.9,3.4
Darius Garland,Eastern,CLE,25,PG,20.6,2.9,6.7
Coby White,Eastern,CHI,24,SG,20.4,3.7,4.5
Jalen Williams,Western,OKC,23,SG,21.6,5.3,5.1
Austin Reaves,Western,LAL,26,SG,20.2,4.5,5.8
De'Aaron Fox,Western,SAS,27,PG,23.5,4.8,6.3
Alperen ?eng�n,Western,HOU,22,C,19.1,10.3,4.9
Franz Wagner,Eastern,ORL,23,SF,24.2,5.7,4.7
Damian Lillard,Eastern,MIL,34,PG,25.0,4.7,7.1
Mikal Bridges,Eastern,NYK,28,SF,17.6,3.2,3.7
Jamal Murray,Western,DEN,27,PG,21.4,3.9,6.0
Bam Adebayo,Eastern,MIA,27,C,18.1,9.6,4.3
Luka Doncic,Western,LAL,25,PG,28.2,8.2,7.7
Michael Porter Jr.,Western,DEN,26,SF,18.2,7.0,2.1
Jaylen Brown,Eastern,BOS,28,SF,22.2,5.8,4.5
Jordan Poole,Eastern,WAS,25,SG,20.5,3.0,4.5
Tyrese Maxey,Eastern,PHI,24,PG,26.3,3.3,6.1
Tyrese Haliburton,Eastern,IND,24,PG,18.6,3.5,9.2
Nikola Vu?evi?,Eastern,CHI,34,C,18.5,10.1,3.5
Anfernee Simons,Western,POR,25,SG,19.3,2.7,4.8
Ivica Zubac,Western,LAC,27,C,16.8,12.6,2.7
Domantas Sabonis,Western,SAC,28,C,19.1,13.9,6.0
Malik Beasley,Eastern,DET,28,SG,16.3,2.6,1.7
Shaedon Sharpe,Western,POR,21,SG,18.5,4.5,2.8
OG Anunoby,Eastern,NYK,27,PF,18.0,4.8,2.2
Desmond Bane,Western,MEM,26,SG,19.2,6.1,5.3
Evan Mobley,Eastern,CLE,23,PF,18.5,9.3,3.2
Norman Powell,Western,LAC,31,SG,21.8,3.2,2.1
Miles Bridges,Eastern,CHO,26,PF,20.3,7.5,3.9
Julius Randle,Western,MIN,30,PF,18.7,7.1,4.7
Anthony Davis,Western,DAL,31,PF,24.7,11.6,3.5
Scottie Barnes,Eastern,TOR,23,PF,19.3,7.7,5.8
Derrick White,Eastern,BOS,30,SG,16.4,4.5,4.8
Kyrie Irving,Western,DAL,32,SG,24.7,4.8,4.6
RJ Barrett,Eastern,TOR,24,SF,21.1,6.3,5.4
Deni Avdija,Western,POR,24,SF,16.9,7.3,3.9
Christian Braun,Western,DEN,23,SG,15.4,5.2,2.6
Paolo Banchero,Eastern,ORL,22,PF,25.9,7.5,4.8
Stephon Castle,Western,SAS,20,PG,14.7,3.7,4.1
LaMelo Ball,Eastern,CHO,23,PG,25.2,4.9,7.4
CJ McCollum,Western,NOP,33,PG,21.1,3.8,4.1
Collin Sexton,Western,UTA,26,SG,18.4,2.7,4.2
Ja Morant,Western,MEM,25,PG,23.2,4.1,7.3
Bennedict Mathurin,Eastern,IND,22,SF,16.1,5.3,1.9
Payton Pritchard,Eastern,BOS,27,PG,14.3,3.8,3.5
Naz Reid,Western,MIN,25,C,14.2,6.0,2.3
Keyonte George,Western,UTA,21,PG,16.8,3.8,5.6
Trey Murphy III,Western,NOP,24,SF,21.2,5.1,3.5
Myles Turner,Eastern,IND,28,C,15.6,6.5,1.5
Malik Monk,Western,SAC,26,SG,17.2,3.8,5.6
Victor Wembanyama,Western,SAS,21,C,24.3,11.0,3.7
Jarrett Allen,Eastern,CLE,26,C,13.5,9.7,1.9
Quentin Grimes,Eastern,PHI,24,SG,14.6,4.3,3.0
De'Andre Hunter,Eastern,CLE,27,SF,17.0,4.0,1.4
Andrew Wiggins,Eastern,MIA,29,SF,18.0,4.5,2.6
Dyson Daniels,Eastern,ATL,21,SG,14.1,5.9,4.4
Cameron Johnson,Eastern,BRK,28,PF,18.8,4.3,3.4
Dillon Brooks,Western,HOU,29,SF,14.0,3.7,1.7
Josh Hart,Eastern,NYK,29,SG,13.7,9.6,5.9
Brook Lopez,Eastern,MIL,36,C,13.0,5.0,1.8
Devin Vassell,Western,SAS,24,SG,16.3,4.0,2.9
Josh Giddey,Eastern,CHI,22,PG,14.6,8.1,7.2
Harrison Barnes,Western,SAS,32,PF,12.3,3.8,1.7
Klay Thompson,Western,DAL,34,SF,14.0,3.4,2.0
Tobias Harris,Eastern,DET,32,PF,13.7,5.9,2.2
Jaden McDaniels,Western,MIN,24,PF,12.2,5.7,2.0
Russell Westbrook,Western,DEN,36,PG,13.3,4.9,6.1
Onyeka Okongwu,Eastern,ATL,24,C,13.4,8.9,2.3
Dennis Schroder,Eastern,DET,31,PG,13.1,2.6,5.4
Keldon Johnson,Western,SAS,25,SF,12.7,4.8,1.6
Amen Thompson,Western,HOU,22,SF,14.1,8.2,3.8
Kyle Kuzma,Eastern,MIL,29,PF,14.8,5.7,2.3
Jimmy Butler,Western,GSW,35,SF,17.5,5.4,5.4
Keegan Murray,Western,SAC,24,PF,12.4,6.7,1.4
Zaccharie Risacher,Eastern,ATL,19,SF,12.6,3.6,1.2
Jalen Duren,Eastern,DET,21,C,11.8,10.3,2.7
Aaron Wiggins,Western,OKC,26,SG,12.0,3.9,1.8
Naji Marshall,Western,DAL,27,SF,13.3,4.8,3.0
Buddy Hield,Western,GSW,32,SG,11.1,3.2,1.6
Kelly Oubre Jr.,Eastern,PHI,29,SF,15.1,6.1,1.8
Bradley Beal,Western,PHO,31,SG,17.0,3.3,3.7
Lauri Markkanen,Western,UTA,27,PF,19.0,5.9,1.5
Toumani Camara,Western,POR,24,PF,11.3,5.8,2.2
Ty Jerome,Eastern,CLE,27,SG,12.5,2.5,3.4
Spencer Dinwiddie,Western,DAL,31,PG,11.0,2.6,4.4
Alex Sarr,Eastern,WAS,19,C,13.0,6.5,2.4
Rudy Gobert,Western,MIN,32,C,12.0,10.9,1.8
Tim Hardaway Jr.,Eastern,DET,32,SG,11.0,2.4,1.6
Fred VanVleet,Western,HOU,30,PG,14.1,3.7,5.6
Keon Johnson,Eastern,BRK,22,SG,10.6,3.8,2.2
Scoot Henderson,Western,POR,20,PG,12.7,3.0,5.1
P.J. Washington,Western,DAL,26,PF,14.7,7.8,2.3
Obi Toppin,Eastern,IND,26,PF,10.5,4.0,1.6
Tyus Jones,Western,PHO,28,PG,10.2,2.4,5.3
Gary Trent Jr.,Eastern,MIL,26,SG,11.1,2.3,1.2
Jakob Poeltl,Eastern,TOR,29,C,14.5,9.6,2.8
Jaylen Wells,Western,MEM,21,SG,10.4,3.4,1.7
Kristaps Porzi??is,Eastern,BOS,29,C,19.5,6.8,2.1
Duncan Robinson,Eastern,MIA,30,SF,11.0,2.3,2.4
Julian Champagnie,Western,SAS,23,SF,9.9,3.9,1.4
Santi Aldama,Western,MEM,24,PF,12.5,6.4,2.9
Bub Carrington,Eastern,WAS,19,PG,9.8,4.2,4.4
Kawhi Leonard,Western,LAC,33,SF,21.5,5.9,3.1
Derrick Jones Jr.,Western,LAC,27,SF,10.1,3.4,0.8
Scotty Pippen Jr.,Western,MEM,24,PG,9.9,3.3,4.4
Gradey Dick,Eastern,TOR,21,SG,14.4,3.6,1.8
Rui Hachimura,Western,LAL,26,PF,13.1,5.0,1.4
Nickeil Alexander-Walker,Western,MIN,26,SG,9.4,3.2,2.7
Brice Sensabaugh,Western,UTA,21,SF,10.9,3.0,1.5
Guerschon Yabusele,Eastern,PHI,29,C,11.0,5.6,2.1
John Collins,Western,UTA,27,PF,19.0,8.2,2.0
Isaiah Joe,Western,OKC,25,SG,10.2,2.6,1.6
Jalen Wilson,Eastern,BRK,24,PF,9.5,3.4,1.8
Aaron Gordon,Western,DEN,29,PF,14.7,4.8,3.2
Brandin Podziemski,Western,GSW,21,SG,11.7,5.1,3.4
Zion Williamson,Western,NOP,24,PF,24.6,7.2,5.3
